color;player name;platform;player id;car id;car name;game duration;score;goals;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken;result;source_file
blue;hbccs;Epic;b2be6019e55b44c897eb1f3409cb19f4;4284;Fennec;427;1124;7;1;10;8;6;6;70.0;402;43.7;2936;2196;740;30;55;861;600;261;7;15;60.14;31.98;579;713;99;1487;540973;215.89;51.72;129.87;31.11;71.7;17.18;232.68;55.74;169.26;40.54;15.53;3.72;2.98;0.14;21;376.3;376.3;1481;1248;1769;311.68;74.66;105.79;25.34;269.42;64.54;148.05;35.46;204.12;48.89;118.41;28.36;94.94;22.74;0;3;winner;01c429ee-cc80-4bb3-b17d-4003f6b49f65-players.csv
orange;Flowsen;Steam;76561197993140621;4284;Fennec;427;1197;6;3;8;10;7;7;75.0;398;36.37;2578;1700;878;20;77;737;388;349;5;30;81.01;23.47;411;217;111;1492;556240;223.69;52.44;135.48;31.76;67.42;15.8;229.15;53.72;185.43;43.47;12.01;2.82;6.78;0.09;74;375.6;375.6;1618;1363;1821;322.83;75.68;103.76;24.32;249.36;58.45;177.23;41.55;184.11;43.16;136.12;31.91;106.37;24.93;3;0;loser;01c429ee-cc80-4bb3-b17d-4003f6b49f65-players.csv
blue;SC156;Epic;4e67f3631a834088a32924e3f82fc9ad;23;Octane;125;533;4;0;4;1;0;0;100.0;360;39.46;637;510;127;6;11;181;169;12;2;1;18.66;13.63;27;89;30;1289;140421;76.03;60.87;37.36;29.91;11.52;9.22;58.2;46.59;64.48;51.62;2.23;1.79;2.5;0.11;22;106.9;106.9;1469;1403;1500;105.34;84.34;19.56;15.66;71.23;57.03;53.68;42.97;50.39;40.34;37.06;29.67;37.45;29.98;0;0;winner;02bac12b-dffe-49aa-a577-72063aa977b7-players.csv
orange;rodvvz;Epic;4a7a8d18b76647d8b8e71226ed03212b;4284;Fennec;125;52;0;0;1;4;4;4;0.0;367;34.08;500;367;133;5;11;199;163;36;2;3;27.31;9.2;76;132;36;1302;141491;78.27;62.88;33.44;26.87;12.76;10.25;59.21;47.57;58.87;47.29;6.4;5.14;1.2;0.08;15;106.9;106.9;1634;1193;1713;75.4;60.57;49.08;39.43;79.75;64.07;44.72;35.93;57.12;45.89;43.83;35.21;23.53;18.9;0;0;loser;02bac12b-dffe-49aa-a577-72063aa977b7-players.csv
blue;Its_Bryz;Epic;0e56439a876144d6bc207e7e6cefc241;4284;Fennec;390;1061;5;3;6;8;4;4;83.33;365;44.32;2415;1893;522;23;46;751;553;198;8;17;56.34;46.18;181;412;246;1394;490213;227.34;58.32;121.16;31.08;41.29;10.59;209.22;53.67;175.76;45.09;4.82;1.24;7.93;0.13;61;353.6;353.6;1547;1332;1815;310.52;79.66;79.27;20.34;239.19;61.36;150.6;38.64;173.98;44.63;113.03;29.0;102.79;26.37;1;0;winner;0350dbb7-096c-4bfd-9d18-34c727941d8f-players.csv
orange;Agro;Steam;76561198071207779;23;Octane;390;810;4;1;8;6;5;5;50.0;464;46.83;2952;2318;634;29;54;607;381;226;5;19;42.82;40.86;214;430;50;1414;491728;209.3;54.1;132.58;34.27;45.02;11.64;207.77;53.7;164.81;42.6;14.3;3.7;6.24;0.08;78;353.7;353.7;1499;1222;1714;287.83;74.4;99.06;25.6;232.5;60.09;154.39;39.91;162.51;42.01;131.12;33.89;93.25;24.1;0;1;loser;0350dbb7-096c-4bfd-9d18-34c727941d8f-players.csv
blue;SpyroThyKing;Steam;76561198027851902;3622;Artemis GXT;411;971;4;4;7;13;7;7;57.14;438;46.61;3083;2386;697;29;69;637;423;214;5;24;39.3;56.21;452;478;88;1534;558655;189.64;46.25;149.24;36.4;71.17;17.36;229.06;55.86;171.65;41.86;9.34;2.28;5.0;0.17;30;366.5;366.5;2094;1684;2434;286.03;69.76;124.01;30.24;245.43;59.85;164.62;40.15;157.37;38.38;150.18;36.62;102.5;25.0;0;0;loser;04752d46-7bdf-4543-85dd-853135b9dac8-players.csv
orange;kauareis8055;XBox;81d20cddfb010900;23;Octane;411;1247;7;2;13;7;4;4;53.85;328;48.55;2314;1758;556;23;51;526;387;139;4;13;64.0;62.32;183;557;22;1464;533827;196.94;48.02;172.98;42.18;40.16;9.79;224.21;54.67;170.84;41.66;15.03;3.67;3.65;0.3;12;366.7;366.7;1871;1564;2247;294.19;71.74;115.89;28.26;266.74;65.05;143.34;34.95;191.39;46.67;136.82;33.36;81.87;19.96;0;0;winner;04752d46-7bdf-4543-85dd-853135b9dac8-players.csv
blue;TTV.JackKnight;Epic;fd77809d06fb43248fce394dc2d0a948;4284;Fennec;395;1149;5;5;6;9;4;4;83.33;454;53.79;3148;2393;755;31;69;365;100;265;1;23;50.02;31.11;351;545;5;1542;534344;174.91;45.41;164.2;42.63;46.03;11.95;206.07;53.51;169.23;43.94;9.83;2.55;8.97;0.1;88;358.0;358.0;2090;1880;2351;307.2;79.77;77.93;20.23;235.95;61.27;149.18;38.73;170.77;44.34;128.09;33.26;86.28;22.4;2;3;winner;047747c9-ad47-416e-81ba-1a28dcf87bb2-players.csv
orange;IsmaelMC.;Epic;60c18aeab01941c19f41e1c47496bb36;23;Octane;395;779;4;0;9;6;5;5;44.44;449;45.75;2722;2148;574;30;50;333;149;184;2;16;40.1;43.78;513;855;50;1604;559637;161.85;41.9;149.94;38.82;74.45;19.28;196.86;50.97;176.11;45.6;13.27;3.44;8.88;0.12;74;357.9;357.9;1845;1602;2076;269.87;69.87;116.37;30.13;254.31;65.84;131.93;34.16;174.67;45.22;130.23;33.72;81.34;21.06;3;2;loser;047747c9-ad47-416e-81ba-1a28dcf87bb2-players.csv
